Date,Home_Team,Away_Team,Home_Score,Away_Score,Winner,Winner_Prob,Upset_Score
9/22/2019,Kings,Glasgow ,38,28,Kings,0.005,0.495
10/17/1990,Provence-Cote d'Azur,New Zealand,19,15,Provence-Cote d'Azur,0.007,0.493
9/28/2024,Zebre Parma,Munster Rugby,42,33,Zebre Parma,0.009,0.491
5/30/2004,England,Barbarians,12,32,Barbarians,0.01,0.49
8/18/1990,New Zealand,Australia,9,21,Australia,0.013,0.487
10/5/2014,Panama,Costa Rica,10,18,Costa Rica,0.013,0.487
3/2/2024,Crusaders,Waratahs,24,37,Waratahs,0.015,0.485
10/20/2020,Wasps,London Irish,26,29,London Irish,0.016,0.484
2/11/2017,Worcester,Saracens,24,18,Worcester,0.016,0.484
1/2/2021,Leinster,Connacht,24,35,Connacht,0.016,0.484
10/11/2014,Guatemala,Costa Rica,17,22,Costa Rica,0.016,0.484
11/1/2009,Wasps,Yorkshire Carnegie,9,15,Yorkshire Carnegie,0.017,0.483
5/26/1962,Rhodesia,British & Irish Lions,38,9,Rhodesia,0.017,0.483
11/8/1983,Midland Division,New Zealand,19,13,Midland Division,0.018,0.482
5/17/2008,Crusaders,Highlanders,14,26,Highlanders,0.018,0.482
9/30/2020,Exeter,London Irish,19,22,London Irish,0.018,0.482
6/13/2009,New Zealand,France,22,27,France,0.018,0.482
5/12/2018,Argentina XV,Brazil,33,36,Brazil,0.019,0.481
10/30/1990,Cote Basque-Landes,New Zealand,18,12,Cote Basque-Landes,0.019,0.481
3/11/2023,Fijian Drua,Crusaders,25,24,Fijian Drua,0.019,0.481
1/26/2019,Kings,Edinburgh,25,21,Kings,0.019,0.481
7/17/2011,Australia,Samoa,23,32,Samoa,0.019,0.481
9/19/1987,Anglo-Scots,France,19,16,Anglo-Scots,0.021,0.479
11/12/1972,Romania,West Germany,10,11,West Germany,0.021,0.479
11/14/2020,New Zealand,Argentina,15,25,Argentina,0.021,0.479
2/15/2015,Leinster,Dragons,14,16,Dragons,0.021,0.479
8/8/1964,Auckland,New Zealand,11,6,Auckland,0.021,0.479
5/31/1983,Mid Canterbury,British & Irish Lions,16,12,Mid Canterbury,0.021,0.479
9/1/1982,Bay of Plenty,Australia,40,16,Bay of Plenty,0.021,0.479
3/25/2017,Benetton,Ospreys,13,5,Benetton,0.022,0.478
4/18/1992,New Zealand,World XV,14,28,World XV,0.022,0.478
9/15/2018,New Zealand,South Africa,34,36,South Africa,0.022,0.478
3/2/2019,Chiefs,Sunwolves,15,30,Sunwolves,0.022,0.478
7/15/2017,Sunwolves,Blues,48,21,Sunwolves,0.022,0.478
6/7/2017,Blues,British & Irish Lions,22,16,Blues,0.023,0.477
2/13/2015,Crusaders,Rebels,10,20,Rebels,0.023,0.477
6/9/1956,Waikato,South Africa,14,10,Waikato,0.023,0.477
4/2/2021,Crusaders,Highlanders,12,33,Highlanders,0.024,0.476
5/21/1994,Natal Sharks,England,21,6,Natal Sharks,0.024,0.476
11/4/1992,Swansea,Australia,21,6,Swansea,0.024,0.476
9/26/1987,Scottish Select XV,France,15,12,Scottish Select XV,0.024,0.476
10/31/1978,Munster,New Zealand,12,0,Munster,0.024,0.476
5/12/2023,Chiefs,Reds,22,25,Reds,0.025,0.475
6/4/2011,Reds,Brumbies,14,22,Brumbies,0.025,0.475
1/27/1973,Barbarians,New Zealand,23,11,Barbarians,0.025,0.475
10/24/1998,China,Malaysia,25,32,Malaysia,0.025,0.475
8/16/1977,Fiji,British & Irish Lions,25,21,Fiji,0.025,0.475
9/5/1953,South Africa,Australia,14,18,Australia,0.026,0.474
11/10/1951,London Counties,South Africa,11,9,London Counties,0.026,0.474
2/24/2007,Leicester,Northampton,9,10,Northampton,0.026,0.474
